"","TIME_PERIOD","ESTIMATE","SUBGROUP"
"1",1999,10.5,"All ages"
"2",2000,10.4,"All ages"
"3",2001,10.7,"All ages"
"4",2002,11,"All ages"
"5",2003,10.9,"All ages"
"6",2004,11.1,"All ages"
"7",2005,11,"All ages"
"8",2006,11.2,"All ages"
"9",2007,11.5,"All ages"
"10",2008,11.8,"All ages"
"11",2009,12,"All ages"
"12",2010,12.4,"All ages"
"13",2011,12.7,"All ages"
"14",2012,12.9,"All ages"
"15",2013,13,"All ages"
"16",2014,13.4,"All ages"
"17",2015,13.7,"All ages"
"18",2016,13.9,"All ages"
"19",2017,14.5,"All ages"
"20",2018,14.8,"All ages"
"21",2019,14.5,"All ages"
"22",2020,14,"All ages"
"23",2021,14.5,"All ages"
