"","TIME_PERIOD","Race","Avg_Estimate"
"1",1999,"American Indian and Alaska Native",10.3
"2",1999,"Asian or Pacific Islander",5.9
"3",1999,"Black",5.6
"4",1999,"White",11.6
"5",2000,"American Indian and Alaska Native",9.95
"6",2000,"Asian or Pacific Islander",5.3
"7",2000,"Black",5.55
"8",2000,"White",11.6
"9",2001,"American Indian and Alaska Native",10.4
"10",2001,"Asian or Pacific Islander",5.2
"11",2001,"Black",5.45
"12",2001,"White",12.05
"13",2002,"American Indian and Alaska Native",10.1
"14",2002,"Asian or Pacific Islander",5.2
"15",2002,"Black",5.3
"16",2002,"White",12.4
"17",2003,"American Indian and Alaska Native",9.7
"18",2003,"Asian or Pacific Islander",5.45
"19",2003,"Black",5.3
"20",2003,"White",12.25
"21",2004,"American Indian and Alaska Native",11.8
"22",2004,"Asian or Pacific Islander",5.55
"23",2004,"Black",5.4
"24",2004,"White",12.45
"25",2005,"American Indian and Alaska Native",11
"26",2005,"Asian or Pacific Islander",5.1
"27",2005,"Black",5.25
"28",2005,"White",12.45
"29",2006,"American Indian and Alaska Native",10.75
"30",2006,"Asian or Pacific Islander",5.5
"31",2006,"Black",5.1
"32",2006,"White",12.65
"33",2007,"American Indian and Alaska Native",10.25
"34",2007,"Asian or Pacific Islander",5.9
"35",2007,"Black",5
"36",2007,"White",13.05
"37",2008,"American Indian and Alaska Native",10.25
"38",2008,"Asian or Pacific Islander",5.5
"39",2008,"Black",5.3
"40",2008,"White",13.55
"41",2009,"American Indian and Alaska Native",10.35
"42",2009,"Asian or Pacific Islander",5.95
"43",2009,"Black",5.15
"44",2009,"White",13.8
"45",2010,"American Indian and Alaska Native",11
"46",2010,"Asian or Pacific Islander",6.35
"47",2010,"Black",5.25
"48",2010,"White",14.25
"49",2011,"American Indian and Alaska Native",10.55
"50",2011,"Asian or Pacific Islander",6.05
"51",2011,"Black",5.45
"52",2011,"White",14.55
"53",2012,"American Indian and Alaska Native",11
"54",2012,"Asian or Pacific Islander",6.5
"55",2012,"Black",5.6
"56",2012,"White",14.8
"57",2013,"American Indian and Alaska Native",11.65
"58",2013,"Asian or Pacific Islander",6.15
"59",2013,"Black",5.5
"60",2013,"White",14.95
"61",2014,"American Indian and Alaska Native",10.8
"62",2014,"Asian or Pacific Islander",6.25
"63",2014,"Black",5.65
"64",2014,"White",15.55
"65",2015,"American Indian and Alaska Native",12.55
"66",2015,"Asian or Pacific Islander",6.65
"67",2015,"Black",5.75
"68",2015,"White",15.9
"69",2016,"American Indian and Alaska Native",13.55
"70",2016,"Asian or Pacific Islander",7
"71",2016,"Black",6.25
"72",2016,"White",16
"73",2017,"American Indian and Alaska Native",13.6
"74",2017,"Asian or Pacific Islander",7
"75",2017,"Black",6.85
"76",2017,"White",16.6
"77",2018,"American Indian and Alaska Native",14.1
"78",2018,"Asian or Pacific Islander",7.3
"79",2018,"Black",7.2
"80",2018,"White",16.9
"81",2019,"American Indian and Alaska Native",13.7
"82",2019,"Asian or Pacific Islander",7.55
"83",2019,"Black",7.3
"84",2019,"White",16.55
